date,E0,Eend,min_energy,G,H,peak_emergency_kw,plan_cost,emergency_cost,cash_cost,emergency_days,emergency_slots,unused,curtailment,pv,storage_loss,max_residual,model,alpha,plan_feasible,objective,constraint_violation,risk_budget,risk_cvar,stress_budget,design_stress_cost,forecast_train_end,scene_end,effective_scenarios,var_exceeded,development_stress_worst_cost,locked_plan_sha256,array_sha256,predicted_beta,predicted_mean_emergency_cost,predicted_emergency_var,predicted_emergency_cvar,predicted_robust_emergency_cvar,predicted_cash_var,predicted_cash_cvar,predicted_emergency_probability,predicted_mean_end_energy,predicted_low_end_energy,predicted_minimum_energy,predicted_worst_emergency_kwh,predicted_effective_n,optimizer_evaluations
2025-08-02,6159.349735278096,7544.167322873834,5628.204788588121,44449.32461740362,0.0,0.0,29587.292096978017,0.0,29587.292096978017,0,0,120.54261687242803,20309.279441980558,70635.21928333332,1707.6600376215667,8.597567102697212e-13,M3-R,0.0,True,28855.13581199636,0.0,18121.698316347403,5961.069940473167,,,2025-08-01,2025-08-01,57.9436508384103,False,31112.951805516994,1579b054aee5c14102b0505cf07f5e217e6a676e24c134ee4dea2f0fca4307bc,dda2781e9deb5972fd5a0dc16648b0f242881dddb86c84a37ad4dda384b1cdc4,0.9,296.6866185051353,248.1739202070259,2916.6180826812483,5961.069940473167,29835.466017185045,32503.910179659266,0.13879083837715145,4877.890164578671,1428.4109824703985,1200.0,1140.4989908248285,57.9436508384103,3000
2025-08-03,7544.167322873834,7630.929053063111,2488.585245685312,86224.12452213507,0.0,0.0,56984.03187194459,0.0,56984.03187194459,0,0,13801.464243340744,6804.729690239632,75223.00616666666,2691.688875032089,9.094947017729282e-13,M3-R,0.39999999999999997,True,57309.12755277995,0.0,30280.701142836293,19483.104245388535,,,2025-08-02,2025-08-02,57.77964434446622,False,78909.81772086587,a17ba8ca2e36c805d38f85a6d235f58891ac0bbcdcb05d1a621ed82e92017f31,d537192a75f0edf69e73b2b6adbe290cde1efd79d88be7f87cffc819a97c9f55,0.9,1706.4346035803526,6039.846212347585,12388.098122560361,19483.104245388535,63023.87808429218,69372.12999450495,0.3171327840066149,7217.425976874979,5493.086858301523,1792.5925925925935,3090.7850654053204,57.77964434446622,3000
2025-08-04,7630.929053063111,6257.224581369045,5155.539629940474,78859.95780447846,0.0,0.0,55656.6276113448,0.0,55656.6276113448,0,0,6464.6977999797045,6919.240791161708,72896.45186666667,1434.0686016977763,9.094947017729282e-13,M3-R,0.0,True,56192.54752728808,0.0,29857.098069019452,16889.403092175962,,,2025-08-03,2025-08-03,55.510373018244636,False,90628.36836701144,2630d3f75f27990b345838f54d21f31dbd13046bf64f719177227713a91af177,f4ffa56039e449fa1e855efbd1fbb5a312dc01cfa1052b67f25c7be09b18f2f1,0.9,883.0609507857655,0.0,8830.609507857656,16889.403092175962,55656.6276113448,64487.23711920245,0.0950208153389251,4535.48064971633,1507.8231507010578,1200.0,2914.661899212301,55.510373018244636,3000
2025-08-05,6257.224581369045,6282.288749359726,5260.617093288298,77813.52157358277,0.0,0.0,54362.176900229075,0.0,54362.176900229075,0,0,5370.278734457672,5507.6226269715335,71306.18755,1758.2463108295535,8.526512829121202e-13,M3-R,0.0,True,54943.676321435414,0.0,29365.257370731037,17852.648411262875,,,2025-08-04,2025-08-04,55.90871882401276,False,96544.00538902184,d38a1d2fecfc491baf947b7306baaa13b6c7b1d8137db79e3ff16a94a432a472,14ddae81ea3abc9625e2375cdafb6e6208fa9590d0b88f096d3aa153d5fcbc0f,0.9,905.9034706205703,0.9994403680580575,9058.911074970856,17852.648411262875,54363.176340597136,63421.08797519993,0.11237004615756016,4655.696038602529,1401.4672018187835,1200.0,3149.6007284713714,55.90871882401276,3000
2025-08-06,6282.288749359726,6011.298713797869,4838.321161864446,77536.38190464853,0.0,0.0,53334.3042000336,0.0,53334.3042000336,0,0,4296.169572757975,3014.6012706377237,68601.68853333333,2382.201830148021,9.094947017729282e-13,M3-R,0.0,True,53194.48806974599,0.0,29298.666875702736,13350.98923262458,,,2025-08-05,2025-08-05,56.41408201408577,False,114283.33952938518,2cc76b0c2cdb7793e52c3a7de32c1c7e1007603e09708f8daf1666b8d09e080c,9360b0b06357e6bed1ad38370d1a1813746bb40d6ac91964f7fa772bbe0b480a,0.9,580.2078698977189,0.0,5802.07869897719,13350.98923262458,53334.3042000336,59136.38289901079,0.09057508165473263,5223.916216549065,1740.5999359149034,1200.0,2610.921623218249,56.41408201408577,3000
2025-08-07,6011.298713797869,6147.961148406403,4338.663233434115,76002.44689435941,0.0,0.0,51937.43421349965,0.0,51937.43421349965,0,0,5587.436443356499,4288.283042704568,73462.76921666667,2602.0797236898115,8.841816168114747e-13,M3-R,0.0,True,52094.44001151893,0.0,28959.89627487793,14193.880263407316,,,2025-08-06,2025-08-06,57.06262783972616,False,109849.74914450929,84c32580ac1d35efde1033d4cdd9d52766cf045626ebfe9c924b09c35ec6fc50,ba8c152cc25b5edea3d4305e49e31b76027dbd10282a0b6c04c5b53326e296a7,0.9,577.9449695373604,102.98748706522973,5769.950008655115,14193.880263407316,52040.421700564875,57707.38422215476,0.10922411740415852,4711.789212229918,1571.3534281405903,1200.0,3098.805384885769,57.06262783972616,3000
2025-08-08,6147.961148406403,5880.981661080249,4367.246984007937,42112.62168840702,0.0,0.0,27074.52596813472,0.0,27074.52596813472,0,0,248.7238464877099,24418.86342436347,74928.04486666666,1936.8426548820025,5.684341886080801e-13,M3-R,0.0,True,26606.055290330445,0.0,17473.953226810914,6772.075355334631,,,2025-08-07,2025-08-07,55.60787669056614,False,22640.204684326716,98fa03c561e8bacf6bd13e1964b854c354d6d45fae9e1fdd2be1b07cf946d758,5701f0aa42b1f321eb8afb3fa4ed25bccbc35064425b4657488f1f8c19e9d14c,0.9,384.14397468015716,137.99099002516672,3830.0095186729413,6772.075355334631,27212.516958159886,30904.53548680766,0.10828331482116799,4492.216836548609,1430.8820238624362,1200.0,1505.7682036924562,55.60787669056614,3000
2025-08-09,5880.981661080249,5488.74985930839,4092.827837701245,42529.544607397955,0.0,0.0,27221.661621380248,0.0,27221.661621380248,0,0,488.9864004920075,21612.56921639407,71381.90275,1898.291792283741,6.821210263296962e-13,M3-R,0.0,True,26880.877279621804,0.0,17596.51609009351,7127.5401445646785,,,2025-08-08,2025-08-08,56.180844873740526,False,31361.177025410347,9924c3f25279fe4f584d74663a045916c9672c17eca879670398138397f5c080,55ff6ff2ed049fca0e7c8f84b67ef1ddc3b2df867453adcc6b13aaa7f493665c,0.9,449.6228272289277,648.2001079033472,4442.402679457318,7127.5401445646785,27869.861729283595,31664.064300837566,0.10830385434616205,4342.215856805698,1522.2995517857164,1200.0,1578.0299029977282,56.180844873740526,3000
2025-08-10,5488.74985930839,6075.90906768613,4935.388410900417,74637.03509101472,0.0,0.0,50847.10808033711,0.0,50847.10808033711,0,0,4584.368861759897,1677.0239594496218,71230.82566666667,2483.8640114274867,9.094947017729282e-13,M3-R,0.0,True,50839.81447607779,0.0,28743.828480449214,13121.002361672274,,,2025-08-09,2025-08-09,56.93409030576486,False,120048.02388013757,62b351840d83edd692e82614793565fad101a2d6937f8815ed6e71bc304cd166,6fb899423c677e9639318ca4b0cc5008f3e2e5a49a249cab46199a7c627a5576,0.9,526.1834242833851,0.0,5261.834242833852,13121.002361672274,50847.10808033711,56108.94232317096,0.08479751673763612,4846.822953571491,1742.112633390653,1200.0,2861.7048742054903,56.93409030576486,3000
2025-08-11,6075.90906768613,5898.033435354936,4138.203862433865,74559.76061340702,0.0,0.0,50943.96458803992,0.0,50943.96458803992,0,0,4909.076118841867,2595.1007333333337,71861.01018333333,2672.206060229696,9.094947017729282e-13,M3-R,0.0,True,51030.545772262376,0.0,28778.617469124267,14367.48616295197,,,2025-08-10,2025-08-10,56.88375525694616,False,116748.32284288284,565b1a0048fd5f0bebef5bf158799e4f958c80a018da65a1bf972f1da4ef8fc2,657ed98b06b04cc8ee147f7f211f431d4dcd883ea33ee9de9bf749412706f980,0.9,551.518823577607,0.0,5515.188235776071,14367.48616295197,50943.96458803992,56459.15282381599,0.09598512308427873,4899.060321366511,1753.3626333906525,1200.0,3184.8202998012957,56.88375525694616,3000
2025-08-12,5898.033435354936,5763.69906549603,4383.241247103174,74957.43416570294,0.0,0.0,51039.334701478736,0.0,51039.334701478736,0,0,3495.0900220780504,1258.453916560286,68877.05305,2577.6809469235186,9.094947017729282e-13,M3-R,0.0,True,51086.42814657003,0.0,28800.78247875075,14523.372686199264,,,2025-08-11,2025-08-11,56.92144822582585,False,127056.27693231114,c754af95336d187d5f00c55da6614fb08a18bab3c7e6fcca90d9b5a4325b4743,e7e7129b1ed120968b74408653a6c67f979fa1d888f3a55f6e17e17e1ae0659a,0.9,565.9406833020987,0.0,5659.406833020989,14523.372686199264,51039.334701478736,56698.74153449973,0.09570236161602698,5050.202184083411,1758.1502511177248,1200.0,3088.439092207199,56.92144822582585,3000
2025-08-13,5763.69906549603,6609.640526667925,4976.330695200305,75354.45053424037,0.0,0.0,51513.53415926032,0.0,51513.53415926032,0,0,5235.759156843664,603.264363597047,70427.01773333334,2548.506102627761,9.094947017729282e-13,M3-R,0.0,True,51765.04856035313,0.0,28903.526007181004,17089.40545539881,,,2025-08-12,2025-08-12,57.57338274567791,False,119753.35885374165,236b2ac3ad65dae130b3b0f5bc9170cfff00b389f1ffd3260abbf1b9b4d214f5,2c2e2834d09165b9e3ced50f5b6bec481b7afc3014e440a5856af4ae5d244fd6,0.9,718.41160912705,0.0,7184.116091270502,17089.40545539881,51513.53415926032,58697.65025053082,0.09530053340783962,5251.057515823555,1872.9565183541165,1200.0,3446.1645832040795,57.57338274567791,3000
2025-08-14,6609.640526667925,5794.329674653249,3426.887005007561,73762.65066686508,0.0,0.0,50371.68086703196,0.0,50371.68086703196,0,0,4636.524690301572,1180.456094452844,70009.76438333333,2834.689750792006,9.094947017729282e-13,M3-R,0.0,True,50758.04152133491,0.0,28658.56222221391,17162.215237153705,,,2025-08-13,2025-08-13,57.260464586676484,False,125230.4727115589,63c0d42de03918dc692dc916bac22debca645f2fafc1564cc84bd462db3044de,10a8d65cfeb6ec59a8a29779a9ddb9c0a8efefcce9a398b6942baef64ca34c51,0.9,744.4023534480109,0.0,7444.02353448011,17162.215237153705,50371.68086703196,57815.70440151207,0.09356862594365051,4974.162420419205,1799.1687696362433,1200.0,3434.01903085516,57.260464586676484,3000
2025-08-15,5794.329674653249,5563.573865549256,4333.548387692111,42306.03134246032,0.0,0.0,27184.412968688936,0.0,27184.412968688936,0,0,378.52649312589,22929.970703420604,72808.33088333334,2068.5630716844794,8.739675649849232e-13,M3-R,0.0,True,26661.659854318492,0.0,17559.188452525403,6436.523142928071,,,2025-08-14,2025-08-14,57.483873918615934,False,25060.010641932025,f3725bc21ae1fbbf000fd128621d10e4fd4fdcae3ca9c9dd48bbf89fb16d5bbd,276325f76a10c2fed7a4ce8ba8d2320c43f6df5678eebfe27a6907c74e3d9b9e,0.9,399.55673265545374,871.6139378399699,3980.2130364047766,6436.523142928071,28056.026906528907,31164.626005093713,0.10176159300387178,4558.981507118112,1430.8820238624362,1200.0,1443.1658246794186,57.483873918615934,3000
2025-08-16,5563.573865549256,4963.09402555335,3657.362255731919,42110.16736893424,0.0,0.0,26944.450358370777,0.0,26944.450358370777,0,0,492.43797820259624,23162.337012853084,73254.24998333334,2126.5918512077983,8.337219803422613e-13,M3-R,0.0,True,26739.614656273054,0.0,17537.328576640615,8006.271211861885,,,2025-08-15,2025-08-15,57.08686257854782,False,27194.592399678004,90a129427996cb9228487135d6033937e1b962ba21e099b5a1f4e14fa875ba47,dc8cf75234c5f201726f6d21b90dd4dc44f2309df3691aafd7ae459b1ebd2f32,0.9,512.8611903578203,35.45988219533367,5124.3620742597595,8006.271211861885,26979.91024056611,32068.812432630537,0.11198489406996569,4252.709738193567,2033.446892321431,1200.0,1823.881111559806,57.08686257854782,3000
